Sif, @IVSmash
Western Dentist, 
Eigen,eigensharpnine
Kian,
Kian,
Kian,
Kian,
Kian,
Kian,
Kian,
Kian,
Kian,
Zamma, 
JoetheGaucho, 
Zamma, 
JoetheGaucho, 
Mchi, 
JoetheGaucho, 
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mchi,
JoetheGaucho,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
Mido,
Doomy,
RapidRage,None
Yink,None
RapidRage,None
Yink,@IVSmash
RapidRage,None
Yink,@IVSmash
RapidRage,
Yink,@IVSmash
RapidRage,
Yink,
RapidRage,
Yink,
C0xx,None
C0xx,None
C0xx,None
C0xx,None
C0xx,None
C0xx,None
C0xx,None
C0xx,None
C0xx,None
C0xx,None
C0xx,None
Mchi [ W],None
C0xx [L],None
Mchi [ W],None
C0xx [L],None
Mchi [ W],None
C0xx [L],None
Mchi [ W],None
C0xx [L],None
